"desfecho","UF","sigla","u0","u1_sexo","gap_log","OR_uf"
"y_top20","32","ES",0.0396438742262379,-0.231867149741585,-0.799074867606099,0.449744845240332
"y_top20","33","RJ",-0.183137491613394,0.0526164473146431,-0.51459127054987,0.597744860623682
"y_top20","35","SP",-0.0117277792203351,-0.080054802696965,-0.647262520561478,0.523476824178643
"y_top20","41","PR",0.0544081433661928,-0.164633934551599,-0.731841652416113,0.48102229797421
"y_top20","42","SC",0.0718743024983991,-0.210748397393083,-0.777956115257596,0.459343898497719
"y_top20","43","RS",-0.012486165345255,-0.128725189282173,-0.695932907146687,0.498609074974537
"y_top20","50","MS",0.142572725952501,-0.208395929910169,-0.775603647774683,0.460425762107963
"y_top20","51","MT",0.306710468384661,-0.322822326361463,-0.890030044225976,0.41064341510345
"y_top20","52","GO",0.136396795259332,-0.269008284694645,-0.836216002559158,0.433347209600135
"y_top20","53","DF",0.0508370853613819,0.0852158424604883,-0.481991875404025,0.617552079105434
"y_top10","11","RO",0.119723235205202,-0.266463143260162,-0.916466269980017,0.39992979092002
"y_top10","12","AC",0.152707802012436,0.0024984514333685,-0.647504675286487,0.523350077139052
"y_top10","13","AM",0.0332891739819969,0.032152847541817,-0.617850279178038,0.539102111845622
"y_top10","14","RR",0.00705091876567297,0.210249089340357,-0.439754037379498,0.644194849451899
"y_top10","15","PA",0.170788952065174,0.0889564816267305,-0.561046645093125,0.570611523445903
"y_top10","16","AP",-0.0110664205022466,0.335691791787318,-0.314311334932537,0.730291627467802
"y_top10","17","TO",0.0802400473214925,-0.219950274031483,-0.869953400751339,0.418971072529941
"y_top10","21","MA",0.142922005495455,0.0610115346806515,-0.588991592039204,0.55488655472008
"y_top10","22","PI",0.200790926823767,-0.00679246041509999,-0.656795587134955,0.518510195976333
"y_top10","23","CE",0.0812725318734651,0.0297990396337015,-0.620204087086154,0.537834661284238
"y_top10","24","RN",-0.0328818494481349,0.104873997162937,-0.545129129556919,0.579766913461342
"y_top10","25","PB",-0.164667120980356,0.0781280042393282,-0.571875122480527,0.564466002832549
"y_top10","26","PE",-0.0988978667765037,0.0498186105548278,-0.600184516165027,0.548710380817517
"y_top10","27","AL",-0.167684808611757,-0.0025887319159341,-0.652591858635789,0.520694459873894
"y_top10","28","SE",0.0264814455435871,0.160101124503788,-0.489902002216067,0.61268643315522
"y_top10","29","BA",0.0841082478614666,0.100843444147328,-0.549159682572527,0.577434835119756
"y_top10","31","MG",-0.0147063610296114,-0.162579840585415,-0.812582967305271,0.443710495089783
"y_top10","32","ES",-0.0606177996992536,-0.215072911624008,-0.865076038343863,0.421019537781772
"y_top10","33","RJ",-0.251911411710969,0.142761993647283,-0.507241133072572,0.6021545535978
"y_top10","35","SP",-0.196469316843429,0.0508621478041506,-0.599140978915705,0.54928327940751
"y_top10","41","PR",-0.0804562226687119,-0.0854505877312358,-0.735453714451091,0.479287949766047
"y_top10","42","SC",-0.183538820984146,-0.106522132111794,-0.756525258831649,0.46929427333135
"y_top10","43","RS",-0.132033075425348,-0.0971987587883365,-0.747201885508192,0.473690139347538
"y_top10","50","MS",0.0474050398880775,-0.0907191446810519,-0.740722271400907,0.476769434204356
"y_top10","51","MT",0.155793976413986,-0.210004385045091,-0.860007511764946,0.423158903635591
"y_top10","52","GO",0.0422245430925719,-0.145254886077087,-0.795258012796943,0.451464736214848
"y_top10","53","DF",0.0501322293835396,0.160848698322738,-0.489154428397117,0.61314463273954
