UF,sigla,regiao,beta,se,OR,n,eventos,desfecho
50,MS,CO,-0.3778145671880978,0.012000427430232871,0.6853575766660758,191721,52582,y_top20
51,MT,CO,-0.4340029851172343,0.011158001643173153,0.6479103213941972,231688,66750,y_top20
52,GO,CO,-0.347444508639449,0.010088127362227292,0.7064912170006862,301904,73808,y_top20
53,DF,CO,-0.30236220947006237,0.013513137434209276,0.7390703181339837,161331,63352,y_top20
11,RO,N,-0.48606063454288945,0.021500909670528288,0.6150445132399686,136387,12161,y_top10
12,AC,N,-0.46489774185867,0.023912522658009007,0.6281993404022324,124115,12067,y_top10
13,AM,N,-0.3220225856821062,0.023564500997912484,0.7246818227117908,190987,13929,y_top10
14,RR,N,-0.45213244673820996,0.025993970696864214,0.6362698922722207,87268,10255,y_top10
15,PA,N,-0.46844918161009097,0.019397983864650938,0.6259722852597611,259094,18726,y_top10
16,AP,N,-0.40483505057951663,0.03038266332779565,0.6670868373710567,68788,8316,y_top10
17,TO,N,-0.5460529298288969,0.02429732214309849,0.5792315719413953,115922,10932,y_top10
21,MA,NE,-0.41173396781366056,0.019894391079718923,0.6625004990668037,366946,15456,y_top10
22,PI,NE,-0.47064275083946133,0.026431514769503006,0.6246006766256099,145701,9600,y_top10
23,CE,NE,-0.4150827146297439,0.019198355809603974,0.6602856631620254,323806,16492,y_top10
24,RN,NE,-0.25188440855932454,0.02462172727303506,0.7773345861007086,136058,9832,y_top10
25,PB,NE,-0.2969281024410263,0.022084179206639378,0.7430974373331782,177159,13235,y_top10
26,PE,NE,-0.3761270026263737,0.019507093406085002,0.6865151382798295,258085,17442,y_top10
27,AL,NE,-0.3530388883740974,0.02291995770793067,0.7025498718237619,226544,12131,y_top10
28,SE,NE,-0.2468301135702348,0.02927696924946132,0.7812734100079898,127864,8478,y_top10
29,BA,NE,-0.30823301579022283,0.02145766256195073,0.7347440910855592,317333,16860,y_top10
31,MG,SE,-0.45921449162636957,0.010569467279704238,0.6317797189060047,639919,60166,y_top10
32,ES,SE,-0.4706409003006867,0.014496705010117834,0.6246018324744502,306371,33729,y_top10
33,RJ,SE,-0.36948259848364456,0.009914512719610835,0.6910918100996583,582142,82586,y_top10
35,SP,SE,-0.42340498266169413,0.00963526099015176,0.6548133913361351,708405,102144,y_top10
41,PR,S,-0.512930406998636,0.012438771017823518,0.5987384581621975,472725,62036,y_top10
42,SC,S,-0.5644964261288457,0.013540874798213661,0.5686464301532221,578174,79032,y_top10
43,RS,S,-0.5639751976447532,0.01585106441878541,0.5689429021281024,457761,67744,y_top10
50,MS,CO,-0.4758207620727007,0.01605659408530994,0.6213748462063509,191721,24240,y_top10
51,MT,CO,-0.5129184019693634,0.014577406854731126,0.5987456460780599,231688,28753,y_top10
52,GO,CO,-0.4283974851945891,0.013540721291492946,0.6515523808961663,301904,33437,y_top10
53,DF,CO,-0.29067556978364034,0.015291311698263463,0.7477582340353657,161331,40355,y_top10
