"rotulo","desfecho","UF","sigla","u0","u1_negro","gap_log","OR_uf"
"y_top10","y_top10","14","RR",0.0822596906432397,0.0159381836157826,-0.399068320014456,0.67094486082496
"y_top10","y_top10","15","PA",0.210608311751726,-0.0095645169350132,-0.424571020565252,0.654050299085785
"y_top10","y_top10","16","AP",0.0918694691219418,0.0531855892946312,-0.361820914335607,0.696407073198358
"y_top10","y_top10","17","TO",0.0864389355471733,-0.129058427799192,-0.54406493142943,0.580384228739649
"y_top10","y_top10","21","MA",0.161624087935281,0.0107750220307857,-0.404231481599453,0.667489591825924
"y_top10","y_top10","22","PI",0.222893444285689,-0.0306746050947092,-0.445681108724948,0.640387953635119
"y_top10","y_top10","23","CE",0.0899731291994412,0.0126450100154615,-0.402361493614777,0.668738957127515
"y_top10","y_top10","24","RN",-0.0575613304154709,0.143528068278124,-0.271478435352115,0.762251720980767
"y_top10","y_top10","25","PB",-0.184963618801581,0.110355177521391,-0.304651326108847,0.737380434879373
"y_top10","y_top10","26","PE",-0.0703590929359294,-0.00804154452044538,-0.423048048150684,0.655047158551086
"y_top10","y_top10","27","AL",-0.174818387582008,0.0178206011923879,-0.397185902437851,0.672209048715359
"y_top10","y_top10","28","SE",-0.00396031310866411,0.141689963500523,-0.273316540129715,0.760851909345046
"y_top10","y_top10","29","BA",0.0706622055231035,0.0750842699206375,-0.339922233709601,0.711825676652532
"y_top10","y_top10","31","MG",-0.0624210138088343,-0.0105253371097933,-0.425531840740032,0.653422176168011
"y_top10","y_top10","32","ES",-0.12067405654339,-0.030298135129689,-0.445304638759927,0.640629085852294
"y_top10","y_top10","33","RJ",-0.178848850238339,-0.0284898380438342,-0.443496341674073,0.64178858160179
"y_top10","y_top10","35","SP",-0.160481768645389,-0.0350278578678987,-0.450034361498137,0.637606242139653
"y_top10","y_top10","41","PR",-0.081577193671244,-0.0978314896549628,-0.512837993285201,0.598793792363273
"y_top10","y_top10","42","SC",-0.201343033479886,-0.0863413729651085,-0.501347876595347,0.605713681948339
"y_top10","y_top10","43","RS",-0.139694321549636,-0.163085614989669,-0.578092118619907,0.560967605900288
"y_top10","y_top10","50","MS",0.0310163182379903,-0.025682261151575,-0.440688764781813,0.643592984207476
"y_top10","y_top10","51","MT",0.139512915858063,-0.0886194792137344,-0.503625982843973,0.604335372388516
"y_top10","y_top10","52","GO",0.0113259332067855,-0.0312960718190582,-0.446302575449297,0.639990097471249
"y_top10","y_top10","53","DF",0.0064995626244584,0.202929246165832,-0.212077257464407,0.808902201419349
"ocp_qualif_PRIVADO","ocp_qualif","11","RO",-0.237003709007525,0.0411946130750991,-0.322714608191475,0.724180500061629
"ocp_qualif_PRIVADO","ocp_qualif","12","AC",-0.100366383535029,-0.0142898356951374,-0.378199056961712,0.68509411433911
"ocp_qualif_PRIVADO","ocp_qualif","13","AM",0.14612980856119,0.056776733443132,-0.307132487823443,0.735553142616486
"ocp_qualif_PRIVADO","ocp_qualif","14","RR",-0.269900907689763,0.0704802148853228,-0.293429006381252,0.745702161079864
